,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,graph_type
11,6678b4b376f5a53600732b1f,0.0,1.0,left,0.0,2.7381,structured
12,6678b4b376f5a53600732b1f,41.0,4.0,right,1.0,14.2849,structured
13,6678b4b376f5a53600732b1f,9.0,1.0,left,0.0,5.0539,structured
14,6678b4b376f5a53600732b1f,37.0,4.0,right,1.0,10.2122,structured
15,6678b4b376f5a53600732b1f,13.0,2.0,right,1.0,5.2096,structured
16,6678b4b376f5a53600732b1f,46.0,4.0,right,1.0,8.8981,structured
17,6678b4b376f5a53600732b1f,22.0,2.0,left,1.0,6.8569,structured
18,6678b4b376f5a53600732b1f,7.0,1.0,left,1.0,8.5321,structured
19,6678b4b376f5a53600732b1f,2.0,1.0,right,0.0,7.2212,structured
20,6678b4b376f5a53600732b1f,18.0,2.0,right,1.0,7.748,structured
21,6678b4b376f5a53600732b1f,23.0,2.0,left,0.0,7.0607,structured
22,6678b4b376f5a53600732b1f,12.0,2.0,right,0.0,6.1603,structured
23,6678b4b376f5a53600732b1f,3.0,1.0,right,0.0,11.3431,structured
24,6678b4b376f5a53600732b1f,16.0,2.0,right,1.0,4.7596,structured
25,6678b4b376f5a53600732b1f,10.0,1.0,left,1.0,6.936,structured
26,6678b4b376f5a53600732b1f,1.0,1.0,right,0.0,7.9784,structured
27,6678b4b376f5a53600732b1f,36.0,4.0,right,1.0,13.0606,structured
28,6678b4b376f5a53600732b1f,45.0,4.0,right,1.0,26.5445,structured
29,6678b4b376f5a53600732b1f,30.0,3.0,right,1.0,6.4948,structured
30,6678b4b376f5a53600732b1f,25.0,3.0,left,1.0,4.2847,structured
31,6678b4b376f5a53600732b1f,29.0,3.0,right,1.0,8.2806,structured
32,6678b4b376f5a53600732b1f,32.0,3.0,left,1.0,5.2524,structured
33,6678b4b376f5a53600732b1f,38.0,4.0,left,1.0,16.3794,structured
34,6678b4b376f5a53600732b1f,34.0,3.0,right,0.0,14.5356,structured
35,6678b4b376f5a53600732b1f,15.0,2.0,right,0.0,9.116,structured
36,6678b4b376f5a53600732b1f,8.0,1.0,left,0.0,3.4628,structured
37,6678b4b376f5a53600732b1f,40.0,4.0,left,0.0,5.7686,structured
38,6678b4b376f5a53600732b1f,17.0,2.0,right,1.0,16.9135,structured
39,6678b4b376f5a53600732b1f,35.0,3.0,left,1.0,9.1654,structured
40,6678b4b376f5a53600732b1f,42.0,4.0,left,1.0,2.7908,structured
41,6678b4b376f5a53600732b1f,5.0,1.0,right,0.0,2.5474,structured
42,6678b4b376f5a53600732b1f,33.0,3.0,left,1.0,3.0469,structured
43,6678b4b376f5a53600732b1f,27.0,3.0,right,1.0,3.1327,structured
44,6678b4b376f5a53600732b1f,14.0,2.0,left,1.0,3.1215,structured
45,6678b4b376f5a53600732b1f,47.0,4.0,left,0.0,5.8918,structured
46,6678b4b376f5a53600732b1f,44.0,4.0,left,0.0,16.379,structured
47,6678b4b376f5a53600732b1f,24.0,3.0,left,1.0,1.4177,structured
0,6658924488240b0d31d2e94b,39.0,4.0,right,1.0,2.9683,structured
1,6658924488240b0d31d2e94b,24.0,3.0,left,0.0,5.4887,structured
2,6658924488240b0d31d2e94b,21.0,2.0,left,1.0,1.7311,structured
3,6658924488240b0d31d2e94b,7.0,1.0,right,1.0,5.8262,structured
4,6658924488240b0d31d2e94b,3.0,1.0,right,0.0,2.6002,structured
5,6658924488240b0d31d2e94b,2.0,1.0,left,0.0,4.0025,structured
6,6658924488240b0d31d2e94b,17.0,2.0,left,1.0,3.645,structured
7,6658924488240b0d31d2e94b,8.0,1.0,right,1.0,3.4223,structured
8,6658924488240b0d31d2e94b,4.0,1.0,left,1.0,2.4483,structured
9,6658924488240b0d31d2e94b,23.0,2.0,left,1.0,1.4635,structured
10,6658924488240b0d31d2e94b,44.0,4.0,left,0.0,11.887,structured
11,6658924488240b0d31d2e94b,14.0,2.0,left,1.0,2.194,structured
12,6658924488240b0d31d2e94b,25.0,3.0,left,1.0,4.557,structured
13,6658924488240b0d31d2e94b,15.0,2.0,right,0.0,3.4927,structured
14,6658924488240b0d31d2e94b,13.0,2.0,right,0.0,6.113,structured
15,6658924488240b0d31d2e94b,26.0,3.0,right,0.0,1.608,structured
16,6658924488240b0d31d2e94b,18.0,2.0,left,0.0,3.4339,structured
17,6658924488240b0d31d2e94b,38.0,4.0,left,0.0,1.7315,structured
18,6658924488240b0d31d2e94b,47.0,4.0,right,1.0,3.0977,structured
19,6658924488240b0d31d2e94b,6.0,1.0,right,0.0,2.632,structured
20,6658924488240b0d31d2e94b,28.0,3.0,right,0.0,2.4722,structured
21,6658924488240b0d31d2e94b,34.0,3.0,left,0.0,8.8083,structured
22,6658924488240b0d31d2e94b,33.0,3.0,left,1.0,0.7988,structured
23,6658924488240b0d31d2e94b,46.0,4.0,left,0.0,1.7986,structured
24,6658924488240b0d31d2e94b,32.0,3.0,left,0.0,2.5554,structured
25,6658924488240b0d31d2e94b,27.0,3.0,left,1.0,2.7693,structured
26,6658924488240b0d31d2e94b,22.0,2.0,left,0.0,1.611,structured
27,6658924488240b0d31d2e94b,10.0,1.0,left,1.0,1.9743,structured
28,6658924488240b0d31d2e94b,35.0,3.0,right,1.0,3.1306,structured
29,6658924488240b0d31d2e94b,42.0,4.0,right,1.0,2.2174,structured
